"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.320150998523776,0.333629028201313,0.370680950678966,0.352552674548839,0.397108898613102,0.387898920089199,0.37327622319375,0.298757205532949,0.309252824880453,0.343560128451824,0.404164931172369
"cluster_louvain",0.303089754349573,0.311602226752981,0.326589235681525,0.319511332737804,0.31380765382044,0.338627106837825,0.319789270539265,0.338039044732682,0.385724209519628,0.331989101947119,0.402233779594412
"cluster_leading_eigen",0.222318283120072,0,0.330119789801622,0,0.349920061491353,0.374260397816386,0.331622699387806,0,0.23628894081681,0,0.237720956495032
"cluster_walktrap",0.22134093634768,0.254648438836352,0.299271659324367,0.288089972544456,0.301747785093627,0.317600944797527,0.244108214903704,0.281066894184451,0.25441834802254,0.333196294876242,0.348364075289772
