"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.478245887935237,0.494105113273461,0.498876299442624,0.489699307780925,0.495406136931002,0.480277974848214,0.460190328077784,0.465693605322381,0.45700748500307,0.491481110637752,0.49291039149785
"cluster_louvain",0.472293681219854,0.478939713643922,0.495669774014224,0.483113182003379,0.471504408371634,0.496841677348197,0.47412259173286,0.49687844103257,0.494526345720021,0.498129717448932,0.534052519253668
"cluster_leading_eigen",0.395021968672674,0,0.449636329465273,0,0.455411984137612,0.47679364999686,0.409842827664534,0,0.352270275420183,0,0.384072458096815
"cluster_walktrap",0.442702479417633,0.446556964366683,0.465184995418093,0.464620210001953,0.460849142094294,0.467040125998471,0.432584103740106,0.454245145277093,0.442651867126349,0.497558306345303,0.504236264748492
