"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.65409127745249,0.69577347003203,0.704164917389557,0.699717513837101,0.705819994787693,0.692228323094576,0.638691297899749,0.69473633109303,0.708839609563588,0.712595667970906,0.728667230917235
"cluster_louvain",0.63803974786312,0.677757906667972,0.700501306298373,0.712166712618055,0.705819994787693,0.693341238381058,0.671924958318475,0.691043242085122,0.708839609563588,0.700154384751973,0.728667230917235
"cluster_leading_eigen",0.692968631116686,0.692968631116686,0.707400731500243,0.692968631116686,0.707400731500243,0.719965220828574,0.710197179185334,0.692968631116686,0.692968631116686,0.725459528429511,0.734824144481189
"cluster_walktrap",0.644074563199879,0.698926705041117,0.683754611467246,0.727877751909622,0.714983368396771,0.724400924737655,0.703372039840544,0.708901116391083,0.708901116391083,0.731970556770295,0.738099989890516
