"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.784530400442906,0.807522089685388,0.804039830360263,0.805708623256587,0.800965993109055,0.810026091538389,0.756323122480797,0.799703065249027,0.803901564328506,0.816227448183393,0.826268711412763
"cluster_louvain",0.770930903332548,0.803200083971968,0.79804753044716,0.813010428916036,0.800965993109055,0.811570496059738,0.79300165040129,0.793724179929076,0.803901564328506,0.815376167957574,0.826268711412763
"cluster_leading_eigen",0.780915913447938,0.780915913447938,0.795459978528203,0.780915913447938,0.795459978528203,0.813090214466586,0.807192857229711,0.780915913447938,0.780915913447938,0.813089709736516,0.82197692661697
"cluster_walktrap",0.760159163292059,0.795369113356273,0.782184188122882,0.829247472454416,0.81876816754286,0.819010145675671,0.801316465307749,0.814390583132136,0.814390583132136,0.827694302910896,0.830677750466301
