"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.213820085866663,0.203372898090747,0.243543643817647,0.206479023836267,0.242018595381331,0.342530766773424,0.271125022042972,0.231965739540911,0.242018595381331,0.280146310277374,0.396973368653764
"cluster_louvain",0.160524314515167,0.157395492611361,0.203125063241619,0.173496402261073,0.193871920816442,0.266265618781132,0.239552451816162,0.192483600718114,0.196860867435583,0.224170006879204,0.29106221313578
"cluster_walktrap",0.102673178598965,0.129490939628434,0.114106225144089,0.120970657161475,0.261163119746673,0.299197819101283,0.308765201768409,0.243320340475733,0.273342062984167,0.185100184364209,0.336567087891163
