"","g_origi","g_CN_once","g_CN_twice","g_LP_once","g_LP_twice","g_NE_once","g_NE_twice","g_katz_once","g_katz_twice","g_NR_once","g_NR_twice"
"cluster_fast_greedy",0.34094963356938,0.343604551108641,0.363628566191151,0.347479749495422,0.362476563435217,0.360897632230711,0.313058454166359,0.353890207088604,0.362476563435217,0.359188931976113,0.404530041318809
"cluster_louvain",0.325450600826962,0.333680043371704,0.354175035270654,0.334911352307665,0.344077590714911,0.343291710502915,0.331906468005681,0.34659252247974,0.345105406766633,0.353185954192174,0.36403310187293
"cluster_walktrap",0.353716057417542,0.356887736266342,0.352168645677515,0.354623753936777,0.368848996302496,0.36928626711501,0.354585739521051,0.365710119499494,0.370654464587723,0.359025054742392,0.381787752647057
